,user,tweet,date_tweet,tweet_id,keyword
69,Robbosleftpeg,@mrjamesob She'll do a wonderful job as NUS President at Demontfort,2020-02-08 18:57:11,1226218433186017280,"nus,national university of singapore"
70,Marina Nunamaker 孫美樂,"7. 🧵 #nCoV 🦠 #dataviz 📊
This visual https://t.co/9pllFRSAkP from @nus_sling maps Singapore case clusters.  It contains the first confirmed case with no known transmission links.  Original article:
https://t.co/CIf9Z5ar73 https://t.co/KZVaql18YQ",2020-02-08 18:55:36,1226218037247987712,"nus,national university of singapore"
71,Trevor Price,@Conservatives @LibDems @UKLabour @theSNP @duponline @Plaid_Cymru @TheGreenParty @Nus_Ghani @mariacaulfield please join the @loanchargeAPPG and #STOPtheLoanCharge #SaveLives. SEVEN possible EIGHT #LoanChargeSuicides https://t.co/jbRITDBSzN,2020-02-08 18:53:43,1226217560707911683,"nus,national university of singapore"
72,Clare Krishan,"@nus_sling @GovMurphy here's some kids in Oregon who've hacked a tablet-to-a-peltier for quick-n-dirty PCR test device for all those ""suspected"" cases you may now anticipate: https://t.co/4uGf9JSQtj",2020-02-08 18:52:07,1226217159174606849,"nus,national university of singapore"
73,Clare Krishan,"@nus_sling @GovMurphy From your finance experience (24 yrs triage-trading gains from others' losses) who's hedging the ""low risk"" in New Jersey and beyond now Governor? https://t.co/syWZbhedcR",2020-02-08 18:39:22,1226213950976667648,"nus,national university of singapore"
74,Clare Krishan,"@nus_sling update @govmurphy add a dozen #Contamine_contaminated #nCov case contacts to the 1-22 Hyatt hotel branch 
(5 new infections at French ski resort, visited 1-24 by businessman before return home 1-28, subsequent ailing &amp; Brighton hospitalization 2-5) https://t.co/LJ1WT6FUbk",2020-02-08 18:32:34,1226212238597509123,"nus,national university of singapore"
75,midoriya,My *nus cannot cope😭😭😭😭,2020-02-08 18:28:34,1226211235038998530,"nus,national university of singapore"
76,💀,If you’ve never been in a court room or have little to no knowledge of Singapore’s code of law then just diam la. This sentence was def more justifiable than the NUS case??,2020-02-08 18:19:31,1226208957108064256,"nus,national university of singapore"
77,Alex ❄️,@lambdagrrl I need to update the badges - I've still got a fucking nus LGBT one on there. also ever add all the patches I have,2020-02-08 17:51:42,1226201955040743424,"nus,national university of singapore"
78,JustinSomnia,I will move on... I just need some time... MY WHOLE YEAR 2 is spent on NUS KDT,2020-02-08 17:46:31,1226200649274015747,"nus,national university of singapore"
79,Reveluvly,"@dvahbomb Nus is legitimately one of the smartest main supports to ever touch the game and his mercy was incredible. His lucio improved so much throughout the season, he would be an upgrade for almost any team, he could be an amazing bench player and a phenomenal coach, he deserved OWL",2020-02-08 17:24:05,1226195005481586689,"nus,national university of singapore"
80,molly 💕 #aceshigh,"as excited as i am for owl to finally start again, it still breaks my heart that nus and bumper won't be a part of it ;_;",2020-02-08 17:16:43,1226193149707587586,"nus,national university of singapore"
81,Nusy🌸,"Hey you 
Come up with a caption 👇🏼 https://t.co/xVdUXBfQNN",2020-02-08 17:11:50,1226191924148617216,"nus,national university of singapore"
82,Nusy🌸,Think like a proton and be positive ✍️,2020-02-08 17:07:20,1226190791720259585,"nus,national university of singapore"
83,Bee Kay,@marcorubio Our Second word is: A- Nus: Marco and his party working together to spew sh**,2020-02-08 16:55:34,1226187829925097473,"nus,national university of singapore"
